,caption,date
0,restarting my feed :3,04/19/25
1,😇😇,04/14/25
2,me again 😇,04/11/25
3,🤎🤎,04/10/25
4,blessing ur feed <3,04/09/25
5,a little throwback 🙊,04/09/25
6,🏀🙈,04/09/25
7,let me know… ☺️👇🏻 (comment below),04/09/25
8,<3,04/08/25
9,Do you agree? 😼,04/06/25
10,throwback thursday 🤍,04/03/25
11,wyd rn  ,12/02/23
12,pull down more?,12/01/23
13,wyd rn?  ,10/25/23
14,Me or the PS5?,10/22/23
15,hiiiii,10/09/23
16,should i start posting more here?,10/02/23
17,wyd,09/18/23
18,who up rn,09/17/23
19,haven’t posted on here in awhile… ooops 🙊,09/08/23
20,like this?,07/13/23
21,stay up with me?,07/12/23
22,say hi or else,07/09/23
23,wyd rn  ,07/09/23
24,07/08/23,gracexglenn
