,caption,date
0,i know you want this :3,11h
1,hi,2d
2,how’s the view?,3d
3,miss me? :3,5d
4,DO NOT scroll without saying hi :3,04/22/25
5,left or right?,04/21/25
6,mommy bunny is home,04/18/25
7,hi,04/16/25
8,what’s ur fav cosplay i did?,04/15/25
9,pizza date?,04/12/25
10,miss me? :3,04/11/25
11,hi,04/10/25
12,are natural girls still wanted? :3,04/09/25
13,POV: we’re ur duo in game,04/08/25
14,bleeeeeh :p,04/06/25
15,left or right :3,04/05/25
16,who did it better?,04/04/25
17,looking for a new chair 👇,04/04/25
18,what sound does a turkey make? :p,04/03/25
19,meow (say it back),04/02/25
20,left or right?,03/31/25
21,minecraft with me? :p,03/30/25
22,are natural girls from 🇺🇸 still wanted?,03/29/25
23,does this type of look suit me? 🥹,03/28/25
24,felt cute cosplaying might delete later :3,03/27/25
25,pizza with me? :3,03/25/25
26,hi,03/24/25
27,would you let me deliver your pizza? :p,03/23/25
28,don’t look top right 😳,03/22/25
29,did i make you stop scrolling? :3,03/20/25
30,felt cute might delete later :p,03/18/25
31,any Liverpool fans on here?,03/16/25
32,cuddles with me or nah?,03/15/25
33,👋,03/14/25
34,say hi if you think blonde hair looks good on me,03/13/25
35,i love u means ur never ever ever getting rid of me >:3,03/12/25
36,hi :3,03/12/25
37,game of pool with me or nah? :3,03/11/25
38,your really gonna scroll past without saying hi,03/10/25
39,ride with me? :3,03/09/25
40,hi :3 (say it back),03/08/25
41,⚠️ WARNING ⚠️,03/07/25
42,POV: i’m the Jeff in ur backline >:3,03/06/25
43,did i make you stop scrolling? :3,03/05/25
44,hi there 😳,03/04/25
45,😚,03/03/25
46,remember that? 👀,03/02/25
47,guess what made me angry today,03/01/25
48,i chew my lips too much 😭,03/01/25
49,rate me on a scale of 1-10 and be honest :3,03/01/25
50,would i scare you away or nah? :3,02/28/25
51,do men even like shy girls? 🥹,02/27/25
52,02/26/25,Nintendo
53,would you still kiss me if i wore black lipstick? :3,02/25/25
54,would you let me deliver your pizza? 🥹,02/24/25
55,02/22/25,MarvelRivals
56,only people who know what i’m thinking about can ❤️ this 😳,02/21/25
57,cuddle with me or nah? :3,02/21/25
58,hi… hey.. what’s up… hello :3,02/19/25
59,02/18/25,Chainsaw Man
60,does red look good on me? :3,02/17/25
61,my name is jeff XD,02/16/25
62,yeah 360,02/16/25
63,02/15/25,MarvelRivals
64,be mine? :3,02/13/25
65,Grrrrr… 😠,02/12/25
66,02/12/25,RascalDoesNotDream
67,praying 4 love 🥹,02/11/25
68,02/11/25,Sonic the Hedgehog
69,triple threat :3,02/10/25
70,who's excited for valentine's day? :3,02/08/25
71,02/08/25,DC
72,02/07/25,onepiece
73,Bleeeeh :p,02/05/25
74,it's youuu 🥰,01/31/25
75,third slide shows my final form (what i look like the majority of the time),01/27/25
76,more energy!! #dance #explore,01/27/25
77,#dance,01/19/25
78,i know u wanna kiss me :3,01/19/25
79,scroll to see the new editions to my collection :3 ,12/07/24
80,✌️,11/23/24
81,cLocking in ?,11/22/24
82,*starts barking*,11/19/24
83,halloween is coming!! what do you want to see me dress up as?,10/02/24
84,princess dress!!,09/24/24
85,asuna! 💗💕,09/22/24
86,do you like girls who cosplay?,09/03/24
87,happy girlfriends day to all my sexy gfs 🥰,08/01/24
88,a post without music for once?? 🤯,07/30/24
89,what's ur favorite pizza topping?,07/14/24
90,hii 💕,07/14/24
91,want uppies? :3,06/23/24
92,🎀 guess my age 🎀,05/12/24
93,hoppy easter 🫶,04/01/24
94,braces soon :( no more lollipops,03/06/24
95,have anything i need to clean up? 😉,11/21/23
96,are likes gonna end up public... 😰,07/08/23
97,469,07/08/23
98,i keep forgetting the like button exists on this app lol,07/06/23
99,Elon Musk rn,07/06/23
100,Happy Birthday to Threads!! 🥳🎉🎂,07/06/23
101,07/06/23,puppiwii
